model,env_metric,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info
ConvAE,brightness,-0.18633513152599335,4.303638431790624e-05,-0.223082567684472,8.815897743758146e-07,-0.1552941176470588,4.115085039596419e-07,0.23191107656281718
ConvAE,contrast,0.2454867959022522,5.79413755421445e-08,0.25713818397269533,1.2606210717157653e-08,0.17647058823529413,8.713534776124042e-09,0.2793935474410594
ConvAE,saturation,0.161396324634552,0.000407470849133799,0.23368131761145375,2.5163198939380155e-07,0.1527465723131358,6.342359259269233e-07,0.09989587725866356
ConvAE,edge_density,0.0713940177790404,0.11982140213478451,0.1352743739215738,0.0031046434595133794,0.10944650455845531,0.0032495916490661654,0.007520253269563959
ConvAE,entropy,0.21472378564725758,2.2712475346277897e-06,0.2276063076670589,5.200940213803439e-07,0.15251658558160106,6.592783982179747e-07,0.23089629067956574
ConvAE,color_divergence,-0.0895141662168387,0.05096749548336829,-0.13312893777173232,0.003615947626698417,-0.08698805838124724,0.0045632048214636275,0.21472349463422935
ConvAE,env_variance_score,-0.06615973200247088,0.14952276352762128,-0.06619590040584257,0.1492998824946406,-0.04321981424148607,0.15876564920051217,0.18729019452076123
VAE,brightness,0.918050229549408,1.410634402767395e-192,0.9867662496974957,0.0,0.9065015479876161,5.2451441660683085e-192,2.0888382711433913
VAE,contrast,-0.42659541964530945,1.7963321023858313e-22,-0.4631146122798672,1.1162390037327031e-26,-0.3474391862007961,9.461826914601964e-30,0.6866358518958546
VAE,saturation,-0.3397860527038574,2.5035775597619322e-14,-0.45742703039507765,5.454768380374392e-26,-0.34087571870853606,1.0644152021395178e-28,0.37895835516680565
VAE,edge_density,-0.11839205368850533,0.009728960466740606,-0.08781393428509916,0.0555516454807006,-0.0707717794953229,0.057027830498490896,0.016567155973578718
VAE,entropy,-0.8248857395083554,1.6867668610070738e-119,-0.8189230011766375,2.186370002876979e-116,-0.6801769128704113,5.600921208852257e-109,1.3921040794362551
VAE,color_divergence,-0.03281013671921432,0.47513883791705946,0.0019474880319555828,0.9661977654489433,-0.009394073418841221,0.7593722000505296,1.1782078536136682
VAE,env_variance_score,0.07516510540134581,0.1014394271847973,0.01852322259589039,0.686873892564769,0.007483414418398938,0.8072262339638987,0.5705917300102308
ResAttnAE,brightness,-0.19025301933288574,2.9390358236957915e-05,-0.25833262401286233,1.0734996372295758e-08,-0.17857585139318885,5.79096284906858e-09,0.28395515381567815
ResAttnAE,contrast,0.23016782104969025,3.8387305308554225e-07,0.28711979727342773,1.7408254834705128e-10,0.197593984962406,1.1729335295951319e-10,0.202672046460441
ResAttnAE,saturation,0.18093562126159668,7.187751723390049e-05,0.2232727212036751,8.624398393938003e-07,0.1497390535161433,1.047886694616691e-06,0.07838052890826441
ResAttnAE,edge_density,0.06620296805564191,0.1492563589572905,0.15450637881131118,0.0007185528529190346,0.12517356666852708,0.0007626793554431067,0.016456013942473646
ResAttnAE,entropy,0.21697785783347587,1.766112355263083e-06,0.2683846130309125,2.6885761720654397e-09,0.1782043343653251,6.2260021869568876e-09,0.25353544854558274
ResAttnAE,color_divergence,-0.09515218700285907,0.03796541304977536,-0.18846327806196958,3.501756589357792e-05,-0.123078283945157,5.9921770974527985e-05,0.1751877427933719
ResAttnAE,env_variance_score,-0.0534063433424276,0.24484760093189503,-0.11567142050464674,0.011553391079927597,-0.07609022556390978,0.013100875338309455,0.12992364434140535
MemAE,brightness,-0.18661420047283173,4.189377759537933e-05,-0.1943447965084743,1.957079627854649e-05,-0.13979655019902698,5.158449525584219e-06,0.3282997247393977
MemAE,contrast,0.2105473428964615,3.59423405201141e-06,0.1871939560332574,3.961112258403033e-05,0.13751437417072093,7.331675557591149e-06,0.3266676291866397
MemAE,saturation,0.34603428840637207,7.781556155635644e-15,0.34386243077171286,1.1715565420446932e-14,0.23193277310924368,3.955379932059574e-14,0.14484971049915574
MemAE,edge_density,0.08693891045157864,0.05804127126767837,0.160752229432781,0.0004300809006344536,0.12992135900364307,0.0004764354841402324,0.03082862090930316
MemAE,entropy,0.166850152219411,0.00025585102898186435,0.15261883899537967,0.0008360202337929085,0.10312251216275985,0.0007725797487863538,0.2252624757744388
MemAE,color_divergence,-0.07904779466501859,0.08492805101771107,-0.12842572580174078,0.005013259204956513,-0.08518354710305175,0.005477644476436354,0.21019216936233187
MemAE,env_variance_score,-0.024737067965900413,0.5903268093417925,-0.04512835918875992,0.32585531902791876,-0.02404245908889872,0.43307888670840944,0.2305904119859128
