model,quarter,detector,n_detections,first_detection_idx,detected
ConvAE,Q2,ADWIN,0,-1,False
ConvAE,Q2,Page-Hinkley,0,-1,False
ConvAE,Q2,CUSUM,0,-1,False
ConvAE,Q2,KS-Windowed,0,-1,False
ConvAE,Q2,DDM,0,-1,False
ConvAE,Q2,EDDM,0,-1,False
ConvAE,Q4,ADWIN,0,-1,False
ConvAE,Q4,Page-Hinkley,0,-1,False
ConvAE,Q4,CUSUM,0,-1,False
ConvAE,Q4,KS-Windowed,183,20,True
ConvAE,Q4,DDM,1,29,True
ConvAE,Q4,EDDM,1,42,True
VAE,Q2,ADWIN,0,-1,False
VAE,Q2,Page-Hinkley,0,-1,False
VAE,Q2,CUSUM,0,-1,False
VAE,Q2,KS-Windowed,0,-1,False
VAE,Q2,DDM,0,-1,False
VAE,Q2,EDDM,0,-1,False
VAE,Q4,ADWIN,0,-1,False
VAE,Q4,Page-Hinkley,0,-1,False
VAE,Q4,CUSUM,0,-1,False
VAE,Q4,KS-Windowed,87,33,True
VAE,Q4,DDM,4,38,True
VAE,Q4,EDDM,0,-1,False
ResAttnAE,Q2,ADWIN,0,-1,False
ResAttnAE,Q2,Page-Hinkley,0,-1,False
ResAttnAE,Q2,CUSUM,0,-1,False
ResAttnAE,Q2,KS-Windowed,0,-1,False
ResAttnAE,Q2,DDM,0,-1,False
ResAttnAE,Q2,EDDM,0,-1,False
ResAttnAE,Q4,ADWIN,0,-1,False
ResAttnAE,Q4,Page-Hinkley,0,-1,False
ResAttnAE,Q4,CUSUM,0,-1,False
ResAttnAE,Q4,KS-Windowed,183,20,True
ResAttnAE,Q4,DDM,6,29,True
ResAttnAE,Q4,EDDM,1,68,True
MemAE,Q2,ADWIN,0,-1,False
MemAE,Q2,Page-Hinkley,0,-1,False
MemAE,Q2,CUSUM,0,-1,False
MemAE,Q2,KS-Windowed,0,-1,False
MemAE,Q2,DDM,0,-1,False
MemAE,Q2,EDDM,0,-1,False
MemAE,Q4,ADWIN,0,-1,False
MemAE,Q4,Page-Hinkley,0,-1,False
MemAE,Q4,CUSUM,0,-1,False
MemAE,Q4,KS-Windowed,112,20,True
MemAE,Q4,DDM,6,29,True
MemAE,Q4,EDDM,0,-1,False
